UsageClass	CheckoutType	MaterialType	CheckoutYear	CheckoutMonth	Checkouts	Title	ISBN	Creator	Subjects	Publisher	PublicationYear
Digital	OverDrive	AUDIOBOOK	2020	6	2	You're More Powerful Than You Think: A Citizen's Guide to Making Change Happen (unabridged) (Unabridged)		Eric Liu	Nonfiction, Politics	Blackstone Audio, Inc.	2017
Digital	OverDrive	AUDIOBOOK	2020	6	2	The Great Debate: Edmund Burke, Thomas Paine, and the Birth of Right and Left (unabridged) (Unabridged)		Yuval Levin	Nonfiction, Politics	Blackstone Audio, Inc.	2014
Digital	OverDrive	EBOOK	2020	6	1	People Get Ready: The Fight Against a Jobless Economy and a Citizenless Democracy		Robert W McChesney	Nonfiction, Politics	Hachette Digital, Inc.	2016
Digital	OverDrive	AUDIOBOOK	2020	6	2	C Street: The Fundamentalist Threat to American Democracy (unabridged) (Unabridged)		Jeff Sharlet	Nonfiction, Politics	Hachette Audio	2013
Digital	OverDrive	AUDIOBOOK	2020	6	1	Black Flags: The Rise of ISIS (unabridged) (Unabridged)		Joby Warrick	Nonfiction, Politics	Books on Tape	2015
Digital	OverDrive	AUDIOBOOK	2020	6	54	A Very Stable Genius: Donald J. Trump's Testing of America (unabridged) (Unabridged)		Philip Rucker	Nonfiction, Politics	Books on Tape	2020
Digital	OverDrive	AUDIOBOOK	2020	6	1	The Plot to Hack America: How Putin's Cyberspies and Wikileaks Tried to Steal the 2016 Election (unabridged) (Unabridged)		Malcolm Nance	Nonfiction, Politics	Author's Republic	2017
Digital	OverDrive	EBOOK	2020	6	1	Thin Blue Lie: The Failure of High-Tech Policing		Matt Stroud	Nonfiction, Politics	Macmillan Publishers	2019
Digital	OverDrive	AUDIOBOOK	2020	6	1	The Roots of Obama's Rage (Unabridged)		Dinesh D'Souza	Nonfiction, Politics	Blackstone Audio, Inc.	2010
Digital	OverDrive	AUDIOBOOK	2020	6	1	Socialism Sucks: Two Economists Drink Their Way Through the Unfree World (unabridged) (Unabridged)		Robert Lawson	Nonfiction, Politics	Dreamscape Media, LLC	2019
Digital	OverDrive	EBOOK	2020	6	1	This Time We Went Too Far: Truth and Consequences of the Gaza Invasion		Norman G. Finkelstein	Nonfiction, Politics	OR Books LLC	2012
Digital	OverDrive	EBOOK	2020	6	1	Ratf**ked: Why Your Vote Doesn't Count		David Daley	Nonfiction, Politics	W. W. Norton & Company	2016
Digital	OverDrive	AUDIOBOOK	2020	6	1	Big Agenda: President Trump's Plan to Save America (unabridged) (Unabridged)		David Horowitz	Nonfiction, Politics	Dreamscape Media, LLC	2017
Digital	OverDrive	EBOOK	2020	6	2	Affairs of State: The Untold History of Presidential Love, Sex, and Scandal, 1789–1900		Robert P. Watson	Nonfiction, Politics	Rowman and Littlefield Publishing Group	2013
Digital	OverDrive	AUDIOBOOK	2020	6	3	Death of the Liberal Class (Unabridged)		Chris Hedges	Nonfiction, Politics	Dreamscape Media, LLC	2011
Digital	OverDrive	EBOOK	2020	6	2	Supreme Ambition: Brett Kavanaugh and the Conservative Takeover		Ruth Marcus	Nonfiction, Politics	Simon & Schuster, Inc.	2019
Digital	OverDrive	AUDIOBOOK	2020	6	2	Words Will Break Cement: The Passion of Pussy Riot (unabridged) (Unabridged)		Masha Gessen	Nonfiction, Politics	Blackstone Audio, Inc.	2014
Digital	OverDrive	EBOOK	2020	6	2	Bullies: How the Left's Culture of Fear and Intimidation Silences Americans		Ben Shapiro	Nonfiction, Politics	Simon & Schuster, Inc.	2019
Digital	OverDrive	EBOOK	2020	6	8	Donald Trump and His Assault on Truth: The President's Falsehoods, Misleading Claims and Flat-Out Lies		The Washington Post Fact Checker Staff	Nonfiction, Politics	Simon & Schuster, Inc.	2020
Digital	OverDrive	EBOOK	2020	6	1	America at War with Itself		Henry A. Giroux	Nonfiction, Politics	Lightning Source Inc	2016
Digital	OverDrive	EBOOK	2020	6	4	Letters to a Young Contrarian		Christopher Hitchens	Nonfiction, Politics	Hachette Digital, Inc.	2010
Digital	OverDrive	EBOOK	2020	6	7	One Person, No Vote: How Voter Suppression Is Destroying Our Democracy		Carol Anderson	Nonfiction, Politics	Bloomsbury USA	2018
Digital	OverDrive	EBOOK	2020	6	3	Death of a Nation: Plantation Politics and the Making of the Democratic Party		Dinesh D'Souza	Nonfiction, Politics	Macmillan Publishers	2018
Digital	OverDrive	EBOOK	2020	6	1	Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution		Tucker Carlson	Nonfiction, Politics	Simon & Schuster, Inc.	2018
Digital	OverDrive	AUDIOBOOK	2020	6	1	The Art of Political War and Other Radical Pursuits (Unabridged)		David Horowitz	Nonfiction, Politics	Blackstone Audio, Inc.	2008
Digital	OverDrive	AUDIOBOOK	2020	6	21	The Audacity of Hope: Thoughts on Reclaiming the American Dream (abridged) (Abridged)		Barack Obama	Nonfiction, Politics	Books on Tape	2006
Digital	OverDrive	EBOOK	2020	6	2	The Means of Reproduction: Sex, Power, and the Future of the World		Michelle Goldberg	Nonfiction, Politics	Penguin Group (USA), Inc.	2009
Digital	OverDrive	AUDIOBOOK	2020	6	1	The Story of Music: From Babylon to the Beatles; How Music Has Shaped Civilization (unabridged) (Unabridged)		Howard Goodall	Nonfiction, Politics	Blackstone Audio, Inc.	2014
Digital	OverDrive	AUDIOBOOK	2020	6	2	It's Even Worse Than It Looks: How the American Constitutional System Collided with the New Politics of Extremism (unabridged) (Unabridged)		Thomas E. Mann	Nonfiction, Politics	Blackstone Audio, Inc.	2016
Digital	OverDrive	EBOOK	2020	6	2	Power Wars: The Relentless Rise of Presidential Authority and Secrecy		Charlie Savage	Nonfiction, Politics	Hachette Digital, Inc.	2015
Digital	OverDrive	EBOOK	2020	6	1	Foreign Policy Begins at Home: The Case for Putting America's House in Order		Richard N. Haass	Nonfiction, Politics	Perseus Books Group	2013
